Movie ID,Movie Title,Release Year,Runtime,Rating,Budget,Box Office
1,Harry Potter and the Philosopher's Stone,2001,152,7.6,"125,000,000","1,002,000,000"
2,Harry Potter and the Chamber of Secrets,2002,161,7.4,"100,000,000","880,300,000"
3,Harry Potter and the Prisoner of Azkaban,2004,142,7.9,"130,000,000","796,700,000"
4,Harry Potter and the Goblet of Fire,2005,157,7.7,"150,000,000","896,400,000"
5,Harry Potter and the Order of the Phoenix,2007,138,7.5,"150,000,000","942,000,000"
6,Harry Potter and the Half-Blood Prince,2009,153,7.6,"250,000,000","943,200,000"
7,Harry Potter and the Deathly Hallows Part 1,2010,146,7.7,"200,000,000","976,900,000"
8,Harry Potter and the Deathly Hallows Part 2,2011,130,8.1,"250,000,000","1,342,000,000"
