Jan,Day ,Total
08-Sep,Wednesday,13
09-Sep,Thursday,9
10-Sep,Friday,11
11-Sep,Saturday,22
12-Sep,Sunday,17
13-Sep,Monday,7
14-Sep,Tuesday,16
15-Sep,Wednesday,8
16-Sep,Thursday,11
17-Sep,Friday,19
18-Sep,Saturday,29
19-Sep,Sunday,36
20-Sep,Monday,10
21-Sep,Tuesday,10
22-Sep,Wednesday,11
23-Sep,Thursday,14
24-Sep,Friday,17
25-Sep,Saturday,28
26-Sep,Sunday,23
27-Sep,Monday,12
28-Sep,Tuesday,13
29-Sep,Wednesday,10
30-Sep,Thursday,14
01-Oct,Friday,21
02-Oct,Saturday,23
03-Oct,Sunday,21
04-Oct,Monday,15
05-Oct,Tuesday,14
06-Oct,Wednesday,11
07-Oct,Thursday,15
08-Oct,Friday,11
09-Oct,Saturday,27
10-Oct,Sunday,26
11-Oct,Monday,13
12-Oct,Tuesday,6
13-Oct,Wednesday,11
14-Oct,Thursday,10
15-Oct,Friday,9
16-Oct,Saturday,33
17-Oct,Sunday,23
18-Oct,Monday,7
19-Oct,Tuesday,8
20-Oct,Wednesday,12
21-Oct,Thursday,10
22-Oct,Friday,10
23-Oct,Saturday,27
24-Oct,Sunday,21
25-Oct,Monday,12
26-Oct,Tuesday,10
27-Oct,Wednesday,7
28-Oct,Thursday,5
29-Oct,Friday,10
30-Oct,Saturday,22
31-Oct,Sunday,36
01-Nov,Monday,15
02-Nov,Tuesday,7
03-Nov,Wednesday,6
04-Nov,Thursday,17
05-Nov,Friday,13
06-Nov,Saturday,22
07-Nov,Sunday,28
08-Nov,Monday,15
09-Nov,Tuesday,8
10-Nov,Wednesday,9
11-Nov,Thursday,15
12-Nov,Friday,13
13-Nov,Saturday,28
14-Nov,Sunday,25
15-Nov,Monday,20
16-Nov,Tuesday,12
17-Nov,Wednesday,6
18-Nov,Thursday,15
19-Nov,Friday,20
20-Nov,Saturday,29
21-Nov,Sunday,21
22-Nov,Monday,11
23-Nov,Tuesday,6
24-Nov,Wednesday,8
25-Nov,Thursday,8
26-Nov,Friday,12
27-Nov,Saturday,17
28-Nov,Sunday,26
29-Nov,Monday,17
30-Nov,Tuesday,6
01-Dec,Wednesday,15
02-Dec,Thursday,8
03-Dec,Friday,13
04-Dec,Saturday,36
05-Dec,Sunday,27
06-Dec,Monday,18
07-Dec,Tuesday,8
08-Dec,Wednesday,12
09-Dec,Thursday,10
10-Dec,Friday,17
11-Dec,Saturday,42
12-Dec,Sunday,27
13-Dec,Monday,16
14-Dec,Tuesday,17
15-Dec,Wednesday,10
16-Dec,Thursday,12
17-Dec,Friday,19
18-Dec,Saturday,27
19-Dec,Sunday,32
20-Dec,Monday,9
21-Dec,Tuesday,20
22-Dec,Wednesday,16
23-Dec,Thursday,17
24-Dec,Friday,29
25-Dec,Saturday,28
26-Dec,Sunday,27
27-Dec,Monday,33
28-Dec,Tuesday,32
29-Dec,Wednesday,17
30-Dec,Thursday,9
31-Dec,Friday,24
