Chad,560.2965142,595.6637846
Togo,324.4570406,631.6538916
Thailand,598.1499443,6123.94689
Tajikistan,,1279.612667
Turkmenistan,,
Timor-Leste,,2061.018891
Tonga,,4481.510641
Trinidad and Tobago,4294.412127,14179.554
Tunisia,,3831.437327
Turkiye,2506.09853,13341.59817
Tuvalu,,4277.455672
Tanzania,,1039.564575
Uganda,,920.5476177
Ukraine,,2451.900879
Uruguay,6155.838349,15874.73799
United States,19135.26818,61855.51863
Uzbekistan,,3327.780263
St. Vincent and the Grenadines,1893.780342,7926.70382
"Venezuela, RB",,
British Virgin Islands,,
Virgin Islands (U.S.),,
Vietnam,,3409.024717
Vanuatu,,2573.307716
Samoa,,3855.613575
Kosovo,,4429.958144
"Yemen, Rep.",,
South Africa,3974.033611,5947.887199
Zambia,1200.763743,1257.934757
Zimbabwe,1137.390586,1289.199068
